#Station Long Name,BARWON RIVER @ GEELONG,,
#Station Number,233217,,
#Station Location Latitude,-38.16360559,,
#Station Location Longitude,144.3468922,,
#Parameter Type Name,pH,,
#Timeseries Name,DMQaQc.Merged.DailyMean.24HR,,
#Unit Name,scalar,,
#DATA_OWNER_NAME,"VIC - Department of Energy, Environment and Climate Action",,
#Rows,366,,
#Timestamp,Value,Quality Code,Interpolation Type
2024-01-01T00:00:00.000+10:00,7.03,10,603
2024-01-02T00:00:00.000+10:00,7.04,10,603
2024-01-03T00:00:00.000+10:00,7.04,10,603
2024-01-04T00:00:00.000+10:00,7.12,10,603
2024-01-05T00:00:00.000+10:00,7.18,10,603
2024-01-06T00:00:00.000+10:00,7.31,10,603
2024-01-07T00:00:00.000+10:00,7.42,10,603
2024-01-08T00:00:00.000+10:00,7.47,10,603
2024-01-09T00:00:00.000+10:00,7.36,10,603
2024-01-10T00:00:00.000+10:00,7.51,10,603
2024-01-11T00:00:00.000+10:00,7.56,10,603
2024-01-12T00:00:00.000+10:00,7.7,10,603
2024-01-13T00:00:00.000+10:00,8.15,10,603
2024-01-14T00:00:00.000+10:00,7.9,10,603
2024-01-15T00:00:00.000+10:00,7.88,10,603
2024-01-16T00:00:00.000+10:00,8.1,10,603
2024-01-17T00:00:00.000+10:00,8.22,10,603
2024-01-18T00:00:00.000+10:00,7.6,10,603
2024-01-19T00:00:00.000+10:00,7.55,10,603
2024-01-20T00:00:00.000+10:00,7.56,10,603
2024-01-21T00:00:00.000+10:00,7.71,10,603
2024-01-22T00:00:00.000+10:00,7.59,10,603
2024-01-23T00:00:00.000+10:00,7.66,10,603
2024-01-24T00:00:00.000+10:00,8.08,10,603
2024-01-25T00:00:00.000+10:00,8.32,10,603
2024-01-26T00:00:00.000+10:00,7.76,10,603
2024-01-27T00:00:00.000+10:00,7.51,10,603
2024-01-28T00:00:00.000+10:00,7.63,10,603
2024-01-29T00:00:00.000+10:00,7.97,10,603
2024-01-30T00:00:00.000+10:00,8.04,10,603
2024-01-31T00:00:00.000+10:00,8.14,10,603
2024-02-01T00:00:00.000+10:00,7.9,10,603
2024-02-02T00:00:00.000+10:00,7.68,10,603
2024-02-03T00:00:00.000+10:00,7.75,10,603
2024-02-04T00:00:00.000+10:00,7.6,10,603
2024-02-05T00:00:00.000+10:00,7.44,10,603
2024-02-06T00:00:00.000+10:00,7.39,10,603
2024-02-07T00:00:00.000+10:00,7.39,10,603
2024-02-08T00:00:00.000+10:00,7.39,10,603
2024-02-09T00:00:00.000+10:00,7.42,10,603
2024-02-10T00:00:00.000+10:00,7.45,10,603
2024-02-11T00:00:00.000+10:00,7.42,10,603
2024-02-12T00:00:00.000+10:00,7.4,10,603
2024-02-13T00:00:00.000+10:00,7.54,10,603
2024-02-14T00:00:00.000+10:00,7.51,10,603
2024-02-15T00:00:00.000+10:00,7.49,10,603
,7.47,10,603
2024-02-17T00:00:00.000+10:00,7.52,10,603
2024-02-18T00:00:00.000+10:00,7.58,10,603
2024-02-19T00:00:00.000+10:00,7.54,10,603
2024-02-20T00:00:00.000+10:00,7.55,10,603
2024-02-21T00:00:00.000+10:00,7.62,10,603
2024-02-22T00:00:00.000+10:00,7.71,10,603
2024-02-23T00:00:00.000+10:00,7.66,10,603
2024-02-24T00:00:00.000+10:00,7.57,10,603
2024-02-25T00:00:00.000+10:00,7.53,10,603
2024-02-26T00:00:00.000+10:00,7.52,10,603
2024-02-27T00:00:00.000+10:00,7.52,10,603
2024-02-28T00:00:00.000+10:00,7.58,10,603
2024-02-29T00:00:00.000+10:00,7.57,10,603
2024-03-01T00:00:00.000+10:00,7.82,10,603
2024-03-02T00:00:00.000+10:00,7.96,10,603
2024-03-03T00:00:00.000+10:00,7.76,10,603
2024-03-04T00:00:00.000+10:00,7.66,10,603
2024-03-05T00:00:00.000+10:00,7.63,10,603
2024-03-06T00:00:00.000+10:00,7.81,10,603
2024-03-07T00:00:00.000+10:00,7.88,10,603
2024-03-08T00:00:00.000+10:00,7.83,10,603
2024-03-09T00:00:00.000+10:00,8.03,10,603
2024-03-10T00:00:00.000+10:00,8.12,10,603
2024-03-11T00:00:00.000+10:00,8.18,10,603
2024-03-12T00:00:00.000+10:00,8.11,10,603
